zulip/zulip,Python
JuliaLang/julia,Julia
cilium/cilium,Go
dotnet/efcore,C#
JuliaRegistries/General,Julia
PaddlePaddle/PaddleOCR,Python
argoproj/argo-cd,Go
RPCS3/rpcs3,C++
espressif/esp-idf,C
apache/flink,Java
raycast/extensions,TypeScript
tailscale/tailscale,Go
Azure/azure-powershell,Unknown
grpc/grpc,C++
nrfconnect/sdk-nrf,C
microsoft/azuredatastudio,TypeScript
MetaMask/eth-phishing-detect,JavaScript
scipy/scipy,Python
directus/directus,TypeScript
demisto/content,Python
ArduPilot/ardupilot,C++
MarlinFirmware/Marlin,C++
rails/rails,Ruby
ppy/osu,C#
aws-amplify/amplify-cli,TypeScript
JacksonKearl/testissues,Unknown
desktop/desktop,TypeScript
ankidroid/Anki-Android,Kotlin
Azure/azure-sdk-for-js,TypeScript
bioconda/bioconda-recipes,Shell
bevyengine/bevy,Rust
apache/beam,Java
open-telemetry/opentelemetry-collector-contrib,Go
leanprover-community/mathlib,Lean
remix-run/remix,TypeScript
github/codeql,CodeQL
OpenAPITools/openapi-generator,Java
obsproject/obs-studio,C
DataDog/datadog-agent,Go
ethereum/ethereum-org-website,Markdown
cloudflare/cloudflare-docs,CSS
grafana/loki,Go
apache/iceberg,Java
gatsbyjs/gatsby,JavaScript
gravitational/teleport,Go
darktable-org/darktable,C
apache/tvm,Python
open-mmlab/mmdetection,Python
azerothcore/azerothcore-wotlk,C++
TeamNewPipe/NewPipe,Java
denoland/deno,Rust
apache/dolphinscheduler,Java
matplotlib/matplotlib,Python
type-challenges/type-challenges,TypeScript
postmanlabs/postman-app-support,Unknown
google-test/signclav2-probe-repo,Unknown
matrix-org/synapse,Python
firebase/flutterfire,Dart
xamarin/xamarin-macios,C#
opencv/opencv,C++
flathub/flathub,Unknown
vectordotdev/vector,Rust
taosdata/TDengine,C
ruffle-rs/ruffle,Rust
termux/termux-packages,Shell
Automattic/jetpack,PHP
dotnet/AspNetCore.Docs,C#
freddier/hyperblog,HTML
oppia/oppia,Python
Skyrat-SS13/Skyrat-tg,DM
macports/macports-ports,Tcl
Kaiserreich/Kaiserreich-4,Unknown
apache/doris,Java
flutter/plugins,Dart
rapid7/metasploit-framework,Ruby
xbmc/xbmc,C++
jitsi/jitsi-meet,TypeScript
PixelExperience/android-issues,Unknown
ziglang/zig,Zig
firebase/firebase-android-sdk,Java
mastodon/mastodon,Ruby
PowerShell/PowerShell,C#
docker/docs,HTML
coolsnowwolf/lede,C
prusa3d/PrusaSlicer,C++
redis/redis,C
zero-to-mastery/start-here-guidelines,Python
ansible/ansible,Python
tachiyomiorg/tachiyomi,Kotlin
alibaba/nacos,Java
newrelic/docs-website,MDX
kubernetes/minikube,Go
yuzu-emu/yuzu,C++
o3de/o3de,C++
kubernetes/test-infra,Go
GoogleChrome/developer.chrome.com,HTML
lensapp/lens,TypeScript
filecoin-project/filecoin-plus-large-datasets,Unknown
Regalis11/Barotrauma,C#
rstudio/rstudio,Java
mlflow/mlflow,Python
angular/components,TypeScript
kubevirt/kubevirt,Go
nextcloud/desktop,C++
apache/apisix,Lua
IntelRealSense/librealsense,C++
mrdoob/three.js,JavaScript
flybywiresim/a32nx,C++
helix-editor/helix,Rust
php/php-src,C
unifyai/ivy,Python
influxdata/telegraf,Go
mattermost/mattermost-webapp,TypeScript
